id,group,sourcePath,sourceSha256,reviewMethod,evidenceSheet,evidenceCell,decision,reason
kenney-furniture-bathroom-cabinet,cc0-original,assets/kenney-furniture/bathroom-cabinet.glb,9db540227acaaedbbadc6a085f4a00460b73944e608afaad4770e53238a3b7f8,contact-sheet-preview,baseline/review-sheet-01.jpg,1,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bathroom-cabinet-drawer,cc0-original,assets/kenney-furniture/bathroom-cabinet-drawer.glb,f32d09c6dab20fe823d238310f75ce81f24e893a91c2078b12efd3f7fe6c6b10,contact-sheet-preview,baseline/review-sheet-01.jpg,2,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bathroom-mirror,cc0-original,assets/kenney-furniture/bathroom-mirror.glb,940b986894101ea59b50541554b6dc608a22b133057975849259009012984175,contact-sheet-preview,baseline/review-sheet-01.jpg,3,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bathroom-sink,cc0-original,assets/kenney-furniture/bathroom-sink.glb,39d4f19608cab7e0fed52303b2c689f5f51fae1bad9b6913cb53d838875e797e,contact-sheet-preview,baseline/review-sheet-01.jpg,4,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bathroom-sink-square,cc0-original,assets/kenney-furniture/bathroom-sink-square.glb,360853c822f268e7267c62ef20cf646f170a13d76254cc0804a1d397a4a3ea67,contact-sheet-preview,baseline/review-sheet-01.jpg,5,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bathtub,cc0-original,assets/kenney-furniture/bathtub.glb,54c405c7035aab63dc41e709dc3c50fc5bcfbc4cddc91ffc54188075a6d25d01,contact-sheet-preview,baseline/review-sheet-01.jpg,6,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bear,cc0-original,assets/kenney-furniture/bear.glb,fd87c08f81dcd652b1f7f61afae9d1f040fa1322ac4ddda6f543ed423b954aed,contact-sheet-preview,baseline/review-sheet-01.jpg,7,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bed-bunk,cc0-original,assets/kenney-furniture/bed-bunk.glb,a3eccbc4a04340dd84878d959e15eede76f517fb8d4de6862ca46877c88d764e,contact-sheet-preview,baseline/review-sheet-01.jpg,8,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bed-double,cc0-original,assets/kenney-furniture/bed-double.glb,c49b33e7d797d2ba1111895587dba7ff63b17a712eb9b4ceeb40a598f73e476c,contact-sheet-preview,baseline/review-sheet-01.jpg,9,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bed-single,cc0-original,assets/kenney-furniture/bed-single.glb,ca00c63f9a12da3138d902b2f5f18e0360fb6e8a5ac42ccb4bc3f185724b65d1,contact-sheet-preview,baseline/review-sheet-01.jpg,10,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bench,cc0-original,assets/kenney-furniture/bench.glb,ba05a6d23a5a5a44da016757632070e47ff7587ce10e2f6d6d52328b4cf5489b,contact-sheet-preview,baseline/review-sheet-01.jpg,11,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bench-cushion,cc0-original,assets/kenney-furniture/bench-cushion.glb,5186ad938f8b9eff255361fd1fdc48a81f08c318161cde27c93753ab95a2d354,contact-sheet-preview,baseline/review-sheet-01.jpg,12,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bench-cushion-low,cc0-original,assets/kenney-furniture/bench-cushion-low.glb,d1fac209eae2ea7393beefa4932dacb54d500e8f9932a1b17d2a842527df1b2c,contact-sheet-preview,baseline/review-sheet-01.jpg,13,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bookcase-closed,cc0-original,assets/kenney-furniture/bookcase-closed.glb,9d210448de5e1179541da895450bbc7a39f4cd673d677654cd6b134e4ea0e047,contact-sheet-preview,baseline/review-sheet-01.jpg,14,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bookcase-closed-doors,cc0-original,assets/kenney-furniture/bookcase-closed-doors.glb,ff33f535acdb1825c0e958a293642b39665adcae0b1317b650e83d2bb687f4e2,contact-sheet-preview,baseline/review-sheet-01.jpg,15,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
kenney-furniture-bookcase-closed-wide,cc0-original,assets/kenney-furniture/bookcase-closed-wide.glb,55b9903e9646dc407ed5237a1c41c1f0a14f9edc22e3392bdb9a4804d846af6a,contact-sheet-preview,baseline/review-sheet-01.jpg,16,keep-preview-reviewed,No selection-blocking visual defect identified at the inspected preview scale.
